Date,Day,Sales,Temperature,Flyers,rainfall_log_value,Price,Profitable
1/1/2017,Sunday,10,-2.085513777,-1.921261927,0.866486105,0,0
2/1/2017,Monday,13,-1.968041754,-1.921261927,0.622385711,0,0
3/1/2017,Tuesday,15,-1.621808422,-1.009448379,0.622385711,0,0
4/1/2017,Wednesday,17,-1.028265567,-0.933463916,0.480946774,0,0
5/1/2017,Thursday,18,-1.133372114,-0.553541604,0.451754065,0,0
6/1/2017,Friday,11,-2.190620325,-1.313386228,0.71010324,0,0
7/1/2017,Saturday,13,-1.720732231,-1.617324078,0.71010324,0,0
8/1/2017,Sunday,15,-1.43632628,-0.933463916,0.550786626,0,0
9/1/2017,Monday,17,-1.399229851,-1.541339615,0.550786626,0,0
10/1/2017,Tuesday,18,-1.071544734,-0.553541604,0.480946774,0,0
11/1/2017,Wednesday,12,-1.739280445,-1.313386228,0.71010324,0,0
12/1/2017,Thursday,14,-1.393047113,-1.845277465,0.622385711,0,0
13/1/2017,Friday,15,-1.43632628,-1.617324078,0.622385711,0,0
14/1/2017,Saturday,17,-1.028265567,-1.313386228,0.480946774,0,0
15/1/2017,Sunday,18,-1.071544734,-0.553541604,0.514195987,0,0
16/1/2017,Monday,12,-1.862935207,-1.237401766,0.758592778,0,0
17/1/2017,Tuesday,14,-1.764011398,-1.085432841,0.665762079,0,0
18/1/2017,Wednesday,16,-1.108641162,-0.553541604,0.550786626,0,0
19/1/2017,Thursday,17,-1.090092948,-0.781494991,0.550786626,0,0
20/1/2017,Friday,12,-1.801107826,-1.541339615,0.665762079,0,0
21/1/2017,Saturday,14,-1.516701875,-1.845277465,0.58526796,0,0
22/1/2017,Sunday,16,-1.232295923,-1.617324078,0.514195987,0,0
23/1/2017,Monday,17,-1.399229851,-1.465355153,0.480946774,0,0
24/1/2017,Tuesday,12,-1.986589968,-1.541339615,0.71010324,0,0
25/1/2017,Wednesday,14,-1.764011398,-1.237401766,0.58526796,0,0
26/1/2017,Thursday,16,-1.541432827,-1.69330854,0.58526796,0,0
